token0,volumeToken1,token0Price,token1Price,blockNumber,volumeToken0,reserve0,token1,txCount,reserve1,createdAtTimestamp,exchange,liquidityUSD,id,volumeUSD
"{'id': '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', 'symbol': 'WETH', 'decimals': '18'}",0,0,0,10822571,0,0,"{'id': '0xdac17f958d2ee523a2206206994597c13d831ec7', 'symbol': 'USDT', 'decimals': '6'}",0,0,1599581639,uniswapv2,0,0x06da0fd433c1a5d7a4faa01111c044910a184553,0
"{'id': '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', 'symbol': 'WETH', 'decimals': '18'}",0,0,0,10824571,0,0,"{'id': '0xdac17f958d2ee523a2206206994597c13d831ec7', 'symbol': 'USDT', 'decimals': '6'}",0,0,1599581639,sushiv2,0,0x06da0fd433c1a5d7a4faa01111c044910a184553,0
"{'id': '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', 'symbol': 'WETH', 'decimals': '18'}",0,0,0,10826571,0,0,"{'id': '0xdac17f958d2ee523a2206206994597c13d831ec7', 'symbol': 'USDT', 'decimals': '6'}",0,0,1599581639,sushiv2,0,0x06da0fd433c1a5d7a4faa01111c044910a184553,0
"{'id': '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', 'symbol': 'WETH', 'decimals': '18'}",0,0,0,10828571,0,0,"{'id': '0xdac17f958d2ee523a2206206994597c13d831ec7', 'symbol': 'USDT', 'decimals': '6'}",0,0,1599581639,sushiv2,0,0x06da0fd433c1a5d7a4faa01111c044910a184553,0
"{'id': '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', 'symbol': 'WETH', 'decimals': '18'}",0,0,0,10829071,0,0,"{'id': '0xdac17f958d2ee523a2206206994597c13d831ec7', 'symbol': 'USDT', 'decimals': '6'}",0,0,1599581639,uniswapv2,0,0x06da0fd433c1a5d7a4faa01111c044910a184553,0
"{'id': '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', 'symbol': 'WETH', 'decimals': '18'}",6744814.039492,0.002830326966626953125791642578952262,353.316069765519587558524301137941,10830571,18968.821216034989797407,313540664603639863744199,"{'id': '0xdac17f958d2ee523a2206206994597c13d831ec7', 'symbol': 'USDT', 'decimals': '6'}",257,110778955329427,1599581639,sushiv2,219358910.5956100925873400259092297,0x06da0fd433c1a5d7a4faa01111c044910a184553,6692952.178384607196518827862829699
"{'id': '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', 'symbol': 'WETH', 'decimals': '18'}",19874709.69531,0.00271655076962710053787929275308712,368.1138637940013400920014425486417,10832571,54648.501346034430667359,324747324123707857898534,"{'id': '0xdac17f958d2ee523a2206206994597c13d831ec7', 'symbol': 'USDT', 'decimals': '6'}",912,119543992239941,1599581639,sushiv2,237834752.262712687969788726202969,0x06da0fd433c1a5d7a4faa01111c044910a184553,19699618.12820504867027131062353604
"{'id': '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', 'symbol': 'WETH', 'decimals': '18'}",35007000.911573,0.002689011616043483870383460813230647,371.8838528006675039767153440669859,10834571,95731.271562994421525395,304012480597980054218234,"{'id': '0xdac17f958d2ee523a2206206994597c13d831ec7', 'symbol': 'USDT', 'decimals': '6'}",1540,113057332584265,1599581639,sushiv2,224456215.9267986741306464572917476,0x06da0fd433c1a5d7a4faa01111c044910a184553,34687817.4455060318576186120173421
"{'id': '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', 'symbol': 'WETH', 'decimals': '18'}",47787849.986092,0.002706145503042083251664277178298446,369.529280253357096113903511028709,10835571,130430.562361142456059571,277759334270328190639558,"{'id': '0xdac17f958d2ee523a2206206994597c13d831ec7', 'symbol': 'USDT', 'decimals': '6'}",1965,102640206876566,1599581639,uniswapv2,203184464.3248879421742822737689139,0x06da0fd433c1a5d7a4faa01111c044910a184553,47364291.79019221224770634735143414
"{'id': '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', 'symbol': 'WETH', 'decimals': '18'}",57384484.23782,0.002732100175723397013827402564733475,366.018789825385191242336740320546,10836571,156650.834596282736450384,259866287035994796915629,"{'id': '0xdac17f958d2ee523a2206206994597c13d831ec7', 'symbol': 'USDT', 'decimals': '6'}",2204,95115943897331,1599581639,sushiv2,188594914.0071225958763738877359661,0x06da0fd433c1a5d7a4faa01111c044910a184553,56866458.48642319259842206777243929
