token0,volumeToken1,token0Price,token1Price,blockNumber,volumeToken0,reserve0,token1,txCount,reserve1,createdAtTimestamp,exchange,reserveUSD,id,volumeUSD
"{'id': '0x66a0f676479cee1d7373f3dc2e2952778bff5bd6', 'symbol': 'WISE', 'decimals': '18'}",0,0,0,11506571,0,0,"{'id': '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', 'symbol': 'WETH', 'decimals': '18'}",0,0,1608657192,uniswapv2,0,0x21b8065d10f73ee2e260e5b47d3344d3ced7596e,0
"{'id': '0x66a0f676479cee1d7373f3dc2e2952778bff5bd6', 'symbol': 'WISE', 'decimals': '18'}",0,0,0,11508571,0,0,"{'id': '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', 'symbol': 'WETH', 'decimals': '18'}",0,0,1608657192,univ2,0,0x21b8065d10f73ee2e260e5b47d3344d3ced7596e,0
"{'id': '0x66a0f676479cee1d7373f3dc2e2952778bff5bd6', 'symbol': 'WISE', 'decimals': '18'}",0,0,0,11510571,0,0,"{'id': '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', 'symbol': 'WETH', 'decimals': '18'}",0,0,1608657192,uniswapv2,0,0x21b8065d10f73ee2e260e5b47d3344d3ced7596e,0
"{'id': '0x66a0f676479cee1d7373f3dc2e2952778bff5bd6', 'symbol': 'WISE', 'decimals': '18'}",0,0,0,11512571,0,0,"{'id': '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', 'symbol': 'WETH', 'decimals': '18'}",0,0,1608657192,univ2,0,0x21b8065d10f73ee2e260e5b47d3344d3ced7596e,0
"{'id': '0x66a0f676479cee1d7373f3dc2e2952778bff5bd6', 'symbol': 'WISE', 'decimals': '18'}",0,0,0,11514571,0,0,"{'id': '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', 'symbol': 'WETH', 'decimals': '18'}",0,0,1608657192,uniswapv2,0,0x21b8065d10f73ee2e260e5b47d3344d3ced7596e,0
"{'id': '0x66a0f676479cee1d7373f3dc2e2952778bff5bd6', 'symbol': 'WISE', 'decimals': '18'}",0,0,0,11516571,0,0,"{'id': '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', 'symbol': 'WETH', 'decimals': '18'}",0,0,1608657192,univ2,0,0x21b8065d10f73ee2e260e5b47d3344d3ced7596e,0
"{'id': '0x66a0f676479cee1d7373f3dc2e2952778bff5bd6', 'symbol': 'WISE', 'decimals': '18'}",0,0,0,11518571,0,0,"{'id': '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', 'symbol': 'WETH', 'decimals': '18'}",0,0,1608657192,uniswapv2,0,0x21b8065d10f73ee2e260e5b47d3344d3ced7596e,0
"{'id': '0x66a0f676479cee1d7373f3dc2e2952778bff5bd6', 'symbol': 'WISE', 'decimals': '18'}",0,0,0,11520571,0,0,"{'id': '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', 'symbol': 'WETH', 'decimals': '18'}",0,0,1608657192,univ2,0,0x21b8065d10f73ee2e260e5b47d3344d3ced7596e,0
"{'id': '0x66a0f676479cee1d7373f3dc2e2952778bff5bd6', 'symbol': 'WISE', 'decimals': '18'}",0,0,0,11522571,0,0,"{'id': '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', 'symbol': 'WETH', 'decimals': '18'}",0,0,1608657192,uniswapv2,0,0x21b8065d10f73ee2e260e5b47d3344d3ced7596e,0
"{'id': '0x66a0f676479cee1d7373f3dc2e2952778bff5bd6', 'symbol': 'WISE', 'decimals': '18'}",0,0,0,11524571,0,0,"{'id': '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', 'symbol': 'WETH', 'decimals': '18'}",0,0,1608657192,univ2,0,0x21b8065d10f73ee2e260e5b47d3344d3ced7596e,0
"{'id': '0x66a0f676479cee1d7373f3dc2e2952778bff5bd6', 'symbol': 'WISE', 'decimals': '18'}",0,0,0,11526571,0,0,"{'id': '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', 'symbol': 'WETH', 'decimals': '18'}",0,0,1608657192,uniswapv2,0,0x21b8065d10f73ee2e260e5b47d3344d3ced7596e,0
"{'id': '0x66a0f676479cee1d7373f3dc2e2952778bff5bd6', 'symbol': 'WISE', 'decimals': '18'}",0,0,0,11528571,0,0,"{'id': '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', 'symbol': 'WETH', 'decimals': '18'}",0,0,1608657192,univ2,0,0x21b8065d10f73ee2e260e5b47d3344d3ced7596e,0
"{'id': '0x66a0f676479cee1d7373f3dc2e2952778bff5bd6', 'symbol': 'WISE', 'decimals': '18'}",0,0,0,11529571,0,0,"{'id': '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', 'symbol': 'WETH', 'decimals': '18'}",0,0,1608657192,univ2,0,0x21b8065d10f73ee2e260e5b47d3344d3ced7596e,0
"{'id': '0x66a0f676479cee1d7373f3dc2e2952778bff5bd6', 'symbol': 'WISE', 'decimals': '18'}",0,0,0,11530571,0,0,"{'id': '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', 'symbol': 'WETH', 'decimals': '18'}",0,0,1608657192,uniswapv2,0,0x21b8065d10f73ee2e260e5b47d3344d3ced7596e,0
"{'id': '0x66a0f676479cee1d7373f3dc2e2952778bff5bd6', 'symbol': 'WISE', 'decimals': '18'}",0,0,0,11532571,0,0,"{'id': '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', 'symbol': 'WETH', 'decimals': '18'}",0,0,1608657192,univ2,0,0x21b8065d10f73ee2e260e5b47d3344d3ced7596e,0
"{'id': '0x66a0f676479cee1d7373f3dc2e2952778bff5bd6', 'symbol': 'WISE', 'decimals': '18'}",0,0,0,11534571,0,0,"{'id': '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', 'symbol': 'WETH', 'decimals': '18'}",0,0,1608657192,uniswapv2,0,0x21b8065d10f73ee2e260e5b47d3344d3ced7596e,0
