token0,token1Price,token0Price,volumeToken1,volumeToken0,blockNumber,reserve0,token1,txCount,reserve1,createdAtTimestamp,exchange,liquidityUSD,id,volumeUSD
"{'id': '0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48', 'symbol': 'USDC', 'decimals': '6'}",0.002847473501062526368792662619876047,351.1885183924812430355406978396639,12332.838471086412546699,4385232.816315,10830571,71308982634159,"{'id': '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', 'symbol': 'WETH', 'decimals': '18'}",325,203050438438495621667072,1599678405,sushiv2,142062259.9357749015422137047767807,0x397ff1542f962076d0bfe58ea045ffa2d347aca0,4351235.666719803791329787864976999
"{'id': '0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48', 'symbol': 'USDC', 'decimals': '6'}",0.002709724961370691636319705399545975,369.0411441219327257088895849731319,44239.239307298556873796,16110923.776796,10832571,114980238683913,"{'id': '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', 'symbol': 'WETH', 'decimals': '18'}",856,311564822826159058074563,1599678405,sushiv2,228121038.0318797188859228604228028,0x397ff1542f962076d0bfe58ea045ffa2d347aca0,15980339.91230421758991697150652171
"{'id': '0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48', 'symbol': 'USDC', 'decimals': '6'}",0.002687691964827224646872911975677949,372.0664470060593092438749319102391,76925.956293868050404247,28126130.979884,10834571,111194649198989,"{'id': '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', 'symbol': 'WETH', 'decimals': '18'}",1268,298856965183904726642187,1599678405,sushiv2,220955566.5541466215869904357703658,0x397ff1542f962076d0bfe58ea045ffa2d347aca0,27895439.05918827740624320491128511
"{'id': '0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48', 'symbol': 'USDC', 'decimals': '6'}",0.002719361004663407572686780003412118,367.7334485142314872753226781784709,88884.900551916651474723,32524227.110402,10835571,106419498655593,"{'id': '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', 'symbol': 'WETH', 'decimals': '18'}",1515,289393034779849531985023,1599678405,uniswapv2,211698002.0130967021397160980930672,0x397ff1542f962076d0bfe58ea045ffa2d347aca0,32265100.94556280696771141389306867
"{'id': '0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48', 'symbol': 'USDC', 'decimals': '6'}",0.002739737239113901010137129356377062,364.998506325163068468632997923698,106147.216660888645197008,38809487.350311,10836571,87443531220539,"{'id': '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', 'symbol': 'WETH', 'decimals': '18'}",1738,239572298804529726487798,1599678405,sushiv2,173868613.5594102695968438043324497,0x397ff1542f962076d0bfe58ea045ffa2d347aca0,38512559.55131839248844457481099493
"{'id': '0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48', 'symbol': 'USDC', 'decimals': '6'}",0.002801470585746111461384481190247628,356.9553808945923660703657086730198,136975.110354541649381621,50028954.293152,10838571,91660379502608,"{'id': '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', 'symbol': 'WETH', 'decimals': '18'}",2218,256783857054882102487427,1599678405,sushiv2,181819456.4476032558168177683778788,0x397ff1542f962076d0bfe58ea045ffa2d347aca0,49647589.80829167446149080813663214
"{'id': '0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48', 'symbol': 'USDC', 'decimals': '6'}",0.002750842024389228170294268580911012,363.5250556498353857245320350542683,159548.686970213569727488,58198526.866887,10840571,97718264613665,"{'id': '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', 'symbol': 'WETH', 'decimals': '18'}",2659,268807508849656507997868,1599678405,sushiv2,193750359.0182944004330713438056936,0x397ff1542f962076d0bfe58ea045ffa2d347aca0,57744282.43479015488292975088150054
"{'id': '0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48', 'symbol': 'USDC', 'decimals': '6'}",0.002733546864606255577940752927558544,365.8250798433051868081581679250843,186186.343774794183100952,68024857.615642,10842071,105477974437288,"{'id': '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', 'symbol': 'WETH', 'decimals': '18'}",3081,288328986308067387417330,1599678405,uniswapv2,208738180.7121939728645959367669569,0x397ff1542f962076d0bfe58ea045ffa2d347aca0,67467835.08044657478912502851183254
"{'id': '0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48', 'symbol': 'USDC', 'decimals': '6'}",0.00271801272036810082928868004598663,367.9158645970464277788094716024895,188292.035299713286362322,68797497.372822,10842571,104170739059539,"{'id': '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', 'symbol': 'WETH', 'decimals': '18'}",3171,283137393853973174771511,1599678405,sushiv2,205825974.7244345296426152334582474,0x397ff1542f962076d0bfe58ea045ffa2d347aca0,68231358.49627951474910155719595132
"{'id': '0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48', 'symbol': 'USDC', 'decimals': '6'}",0.002703461419117594525239036075657828,369.8961608730478563468605672506668,211642.883717421366163463,77459996.795832,10844571,120107010211284,"{'id': '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', 'symbol': 'WETH', 'decimals': '18'}",3618,324704668271769259295672,1599678405,sushiv2,237302949.0418040729480845321903514,0x397ff1542f962076d0bfe58ea045ffa2d347aca0,76794741.50468881703998766477740877
