token0,volumeToken1,token0Price,token1Price,blockNumber,volumeToken0,reserve0,token1,txCount,reserve1,createdAtTimestamp,exchange,reserveUSD,id,volumeUSD
"{'id': '0x949d48eca67b17269629c7194f4b727d4ef9e5d6', 'symbol': 'MC', 'decimals': '18'}",28.924238332612558478,1555.596236481135085231456820611817,0.0006428403312816366074175765958278763,13552571,39300.383670956460783471,11012.501785577522236902,"{'id': '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', 'symbol': 'WETH', 'decimals': '18'}",94,7.079280296080269063,1636037244,uniswapv2,63866.86507208110407891877956738669,0xccb63225a7b19dcf66717e4d40c9a72b39331d61,0
"{'id': '0x949d48eca67b17269629c7194f4b727d4ef9e5d6', 'symbol': 'MC', 'decimals': '18'}",42.940285433110761038,1554.904357476331971747575323872115,0.0006431263731378549006152014491967375,13554571,60744.630742062374456713,11041.213527615629330566,"{'id': '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', 'symbol': 'WETH', 'decimals': '18'}",148,7.100895611056060423,1636037244,uniswapv2,64513.87493644002139887218143081,0xccb63225a7b19dcf66717e4d40c9a72b39331d61,0
"{'id': '0x949d48eca67b17269629c7194f4b727d4ef9e5d6', 'symbol': 'MC', 'decimals': '18'}",80.919846964809270102,1498.316953660859940566220510979679,0.000667415527506837075852574257992527,13556571,114677.594023346135883566,10917.729919508330104595,"{'id': '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', 'symbol': 'WETH', 'decimals': '18'}",276,7.286662473405830025,1636037244,univ2,65268.0517343759348293105861221183,0xccb63225a7b19dcf66717e4d40c9a72b39331d61,0
"{'id': '0x949d48eca67b17269629c7194f4b727d4ef9e5d6', 'symbol': 'MC', 'decimals': '18'}",20729.776503953118678963,754.310434358326804009068783251604,0.001325714128362383349126838150830691,13558571,16783300.392454212833129363,1018218.012217819711376897,"{'id': '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', 'symbol': 'WETH', 'decimals': '18'}",2819,1349.866004550225458138,1636037244,uniswapv2,12135768.05205142296125805076669414,0xccb63225a7b19dcf66717e4d40c9a72b39331d61,88951965.40298510227870103036856923
"{'id': '0x949d48eca67b17269629c7194f4b727d4ef9e5d6', 'symbol': 'MC', 'decimals': '18'}",22894.175450057239644101,733.1963257957062478871070687460587,0.001363891177325177221481919225494189,13559071,18362936.762616422453263134,1006448.237418704933454387,"{'id': '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', 'symbol': 'WETH', 'decimals': '18'}",3165,1372.685871449846954914,1636037244,uniswapv2,12270641.35543128208015429786762044,0xccb63225a7b19dcf66717e4d40c9a72b39331d61,98644381.42817217428117725042826064
"{'id': '0x949d48eca67b17269629c7194f4b727d4ef9e5d6', 'symbol': 'MC', 'decimals': '18'}",26125.416505581957428485,712.3671672578583808473926081181491,0.001403770479553875925700643223509777,13560571,20574681.151413890725898255,1025820.192524731895621344,"{'id': '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', 'symbol': 'WETH', 'decimals': '18'}",3766,1440.0161035964922212,1636037244,univ2,12889668.39078219841907713181727057,0xccb63225a7b19dcf66717e4d40c9a72b39331d61,113125801.9967734803071639346071967
"{'id': '0x949d48eca67b17269629c7194f4b727d4ef9e5d6', 'symbol': 'MC', 'decimals': '18'}",28715.127614676914209496,599.9390253347326456185689727214885,0.001666836057951148546320329300532356,13562571,22264667.345280946555396512,945583.974993524247177424,"{'id': '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', 'symbol': 'WETH', 'decimals': '18'}",4300,1576.133465339983379938,1636037244,uniswapv2,13928011.7342075478887068912997083,0xccb63225a7b19dcf66717e4d40c9a72b39331d61,124731073.2416050421535774068448321
"{'id': '0x949d48eca67b17269629c7194f4b727d4ef9e5d6', 'symbol': 'MC', 'decimals': '18'}",33914.112614507932876481,480.1653202057288094440321790768509,0.002082616044764636231082936523453641,13564571,25122689.806189838284701946,888151.636455066509569661,"{'id': '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', 'symbol': 'WETH', 'decimals': '18'}",5183,1849.678848265289717846,1636037244,univ2,16382047.54266423126523157280945311,0xccb63225a7b19dcf66717e4d40c9a72b39331d61,147571335.2425307666411135860676379
"{'id': '0x949d48eca67b17269629c7194f4b727d4ef9e5d6', 'symbol': 'MC', 'decimals': '18'}",38494.790332091941227297,505.6202899458620667688673923001512,0.001977768732554368638152654381753797,13565571,27235166.941573436475297691,920377.859013974584958484,"{'id': '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', 'symbol': 'WETH', 'decimals': '18'}",5745,1820.294551693171905461,1636037244,uniswapv2,16408060.24716690904215519541171364,0xccb63225a7b19dcf66717e4d40c9a72b39331d61,168004129.4753924912847209187101289
"{'id': '0x949d48eca67b17269629c7194f4b727d4ef9e5d6', 'symbol': 'MC', 'decimals': '18'}",39556.600410048950299726,497.5715921057632805953842718904021,0.002009761039145982995120694765560857,13566571,27795870.941646795698050176,917311.314116092700418914,"{'id': '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', 'symbol': 'WETH', 'decimals': '18'}",5977,1843.576539878325685307,1636037244,uniswapv2,16810574.41670781827367253179882816,0xccb63225a7b19dcf66717e4d40c9a72b39331d61,172799731.2008989354290083581102215
